English Word,French Word,Frequency
contempt,mépris,55
content,contenu,270
contrary,contraire,47
copies,copies,4
copyright,droits d'auteur,7
could,pourrait,654
council,conseil,58
counsel,Conseil,176
count,compter,701
courage,courage,310
course,cours,253
court,tribunal,451
cousin,cousin,287
coward,lâche,150
crave,demander,73
creature,créature,110
credit,crédit,73
cromwell,Cromwell,18
cross,traverser,126
crown,couronne,395
cruel,cruel,100
cunning,ruse,81
cupid,Cupidon,54
curse,malédiction,182
custom,Douane,72
dagger,dague,57
damned,damné,45
dance,Danse,105
darkness,obscurité,39
daughter,fille,489
deadly,mortel,51
dearest,très cher,56
dearly,chèrement,42
death,décès,931
deeds,actes,119
defend,défendre,85
degree,diplôme,65
delight,délice,86
deliver,livrer,200
demand,demande,162
denied,refusé,55
depart,partir,98
desert,désert,65
deserve,mériter,135
desire,le désir,310
despair,désespoir,62
desperate,désespéré,54
despite,malgré,59
device,dispositif,49
devil,diable,293
devise,concevoir,57
didst,didst,183
dinner,dîner,98
discover,découvrir,78
disgrace,disgrâce,58
dishonour,déshonorer,70
dispatch,envoi,92
displeasure,mécontentement,43
disposition,disposition,51
distributed,distribué,2
divine,Divin,59
doctor,docteur,92
doing,Faire,86
dolabella,Dolabella,8
doors,des portes,62
double,double,130
doubt,doute,255
dramatis,dramatis,20
drawn,tiré,92
dread,crainte,121
dream,rêver,210
drink,boisson,218
drops,gouttes,58
drown,noyer,110
drums,tambours,42
drunk,ivre,114
duncan,Duncan,21
durst,durst,51
dwell,habiter,73
dying,en train de mourir,54
early,de bonne heure,61
earth,Terre,380
edmund,Edmund,74
effect,effet,116
egypt,Egypte,63
either,Soit,356
elbow,coude,29
elder,aîné,50
embrace,embrasse,84
emilia,Émilie,42
emperor,empereur,107
empty,vide,54
endure,supporter,81
enemies,ennemis,111
enemy,ennemi,167
enjoy,prendre plaisir,71
enobarbus,énobarbus,14
enough,assez,313
enter,entrer,2578
entreat,supplier,159
equal,égal,69
estate,biens,58
eternal,éternel,40
every,chaque,558
excellent,excellent,125
except,sauf,60
excuse,excuse,86
execution,exécution,63
exeter,Exeter,26
exeunt,sortir,1035
express,Express,134
faces,visages,53
faint,perdre connaissance,76
fairy,Fée,47
faith,Foi,464
falls,des chutes,82
false,faux,355
familiar,familier,47
fancy,fantaisie,68
farewell,adieu,355
farther,plus loin,43
fashion,mode,125
fatal,fatal,45
father,père,1150
fault,faute,280
favour,favoriser,203
fearful,craintif,99
fears,peurs,77
feast,le banquet,132
feeble,faible,34
fellow,compagnon,444
fenton,Fenton,18
ferdinand,Ferdinand,8
fetch,chercher,129
field,champ,242
fiend,démon,81
fierce,féroce,44
fiery,ardent,49
fight,bats toi,322
figure,figure,66
finds,trouve,42
finger,doigt,114
first,première,558
flatter,flatter,137
flesh,la chair,142
flies,mouches,62
flight,vol,56
flood,inonder,59
flourish,fleurir,146
flower,fleur,103
follow,suivre,560
folly,folie,80
foolish,insensé,103
fools,imbéciles,104
forbear,ancêtre,64
forbid,interdire,86
force,Obliger,275
forest,forêt,92
forget,oublier,115
former,ancien,74
forsooth,en vérité,48
forth,en avant,441
fortune,fortune,485
forward,vers l'avant,103
fought,combattu,68
found,a trouvé,320
fourth,Quatrième,21
frame,Cadre,55
france,France,414
freely,librement,55
french,français,205
fresh,Frais,124
friend,ami,1017
frown,froncer les sourcils,88
fruit,fruit,70
further,plus loin,194
gallant,galant,72
garden,jardin,54
gates,portes,105
gaunt,décharné,44
general,général,232
gentle,doux,1003
ghost,fantôme,88
given,donné,205
giving,donnant,65
glass,verre,83
glorious,glorieux,43
glory,gloire,89
going,Aller,111
golden,d'or,92
goodness,la bonté,56
gower,gower,12
grace,la grâce,661
grant,subvention,152
grave,la tombe,239
great,génial,1147
green,vert,105
greet,saluer,93
grief,douleur,274
grieve,pleurer,71
gross,brut,96
ground,sol,182
grown,grandi,68
guard,garde,177
guess,devine,55
guilty,coupable,71
habit,habitude,159
hands,mains,342
hanging,pendaison,63
hangs,bloque,37
happiness,bonheur,59
happy,heureux,242
haste,hâte,219
hateful,odieux,39
having,ayant,158
hazard,danger,47
heads,têtes,130
health,santé,120
heard,entendu,364
heart,cœur,1346
heaven,paradis,853
heavy,lourd,169
hector,Hector,153
heels,talons,83
hence,Par conséquent,583
herself,se,98
highness,altesse,189
holds,tient,92
hollow,creux,54
honest,honnête,406
horse,cheval,335
hostess,hôtesse,37
hours,heures,141
house,maison,662
hubert,Hubert,34
humble,humble,92
humour,humour,124
hundred,cent,120
husband,mari,373
ignorant,ignorant,48
image,image,74
includes,comprend,2
indeed,En effet,438
infinite,infini,43
innocent,innocent,56
instant,instant,85
intend,avoir l'intention,97
intent,intention,171
issue,problème,129
itself,lui-même,240
jealous,jaloux,96
jewel,bijou,89
judge,juge,119
judgment,jugement,117
julia,Julia,36
justice,Justice,356
keeps,garde,76
kindness,la gentillesse,79
kingdom,Royaume,127
kings,rois,147
knave,fripon,239
kneel,s'agenouiller,116
knees,les genoux,51
knife,couteau,56
knight,Chevalier,189
knock,frappe,143
knowing,connaissance,53
knowledge,connaissance,99
known,connu,233
knows,sait,213
labour,la main d'oeuvre,128
ladies,Dames,124
ladyship,Madame,45
lands,terres,68
large,grand,104
laugh,rire,243
launce,lancer,36
lawful,légitime,77
learn,apprendre,222
least,moins,101
leave,laisser,748
leisure,loisir,68
leontes,leontes,11
letter,lettre,383
liberty,liberté,73
library,bibliothèque,10
liege,Liege,289
lieutenant,lieutenant,55
light,lumière,469
limbs,membres,49
little,peu,484
lives,vies,213
living,vivant,123
longer,plus long,112
looks,regards,216
loose,ample,60
lords,seigneurs,513
lorenzo,Lorenzo,24
lovely,charmant,53
lovers,les amoureux,61
loves,aime,225
loving,aimant,122
lucentio,Lucentio,41
machine,machine,3
madness,la démence,68
maiden,jeune fille,78
maids,servantes,48
maintain,maintenir,58
majesty,majesté,270
makes,fait du,360
making,fabrication,84
malice,malice,72
manner,manière,175
march,Mars,166
marcius,Marcius,83
marcus,Marcus,54
margaret,margaret,85
maria,maria,23
mariana,Mariana,8
marriage,mariage,122
marry,marier,377
master,Maître,977
match,rencontre,119
matter,matière,385
meaning,sens,64
means,veux dire,264
meant,signifiait,83
measure,mesure,108
meeting,réunion,56
memory,Mémoire,58
merchant,marchande,44
mercy,pitié,187
merit,mérite,79
merry,joyeux,169
messenger,Messager,110
midnight,minuit,43
might,pourrait,679
milan,Milan,40
minds,esprits,56
minister,ministre,62
miranda,Miranda,5
mirth,gaieté,53
misery,misère,39
mistake,erreur,53
mistress,maîtresse,416
modest,modeste,100
money,argent,193
monster,monstre,96
month,mois,97
morning,Matin,134
morrow,demain,353
mortal,mortel,147
mother,mère,476
motion,mouvement,113
mouth,bouche,200
mowbray,mowbray,28
murder,meurtre,137
murther,aller plus loin,89
music,la musique,250
myself,moi même,567
naked,nu,56
names,des noms,50
native,originaire de,45
natural,Naturel,105
nature,la nature,517
needs,Besoins,147
neighbour,voisine,90
never,jamais,1023
niece,nièce,65
night,nuit,982
noble,noble,726
noise,bruit,117
nothing,rien,639
nought,néant,58
number,nombre,102
nurse,infirmière,202
oaths,serments,87
obedience,obéissance,60
oberon,Oberon,8
object,objet,54
occasion,occasion,91
offence,infraction,121
offend,offenser,149
offer,offre,178
office,Bureau,282
often,souvent,140
oliver,oliver,9
opinion,opinion,97
order,ordre,144
orlando,orlando,26
other,autre,940
ourselves,nous-mêmes,188
outward,vers l'extérieur,57
oxford,Oxford,27
padua,Padoue,41
pains,des douleurs,92
painted,peint,53
painter,peintre,10
palace,palais,167
pandarus,Pandarus,17
paper,papier,122
pardon,pardon,327
paris,Paris,163
parolles,parolles,12
parted,séparé,49
particular,particulier,71
partly,partiellement,35
parts,les pièces,112
party,fête,51
passage,passage,44
passion,la passion,147
patience,la patience,203
patient,patient,130
paulina,paulina,17
peace,paix,556
pedro,pedro,155
people,gens,230
perceive,apercevoir,103
percy,Percy,64
perfect,parfait,114
perhaps,peut-être,45
peril,péril,65
permission,autorisation,4
person,la personne,215
phebe,phebe,19
philip,Philippe,38
picture,image,52
piece,pièce,143
pistol,pistolet,45
place,endroit,525
plague,peste,110
plain,plaine,241
plead,plaider,63
please,S'il vous plaît,449
pleasure,plaisir,215
pluck,cueillir,163
poins,poins,70
point,point,256
poison,poison,128
policy,politique,45
polixenes,polixènes,16
pompey,pompey,92
porter,porter,748
possible,possible,98
posthumus,posthume,32
pound,livre,112
power,Puissance,381
practice,entraine toi,56
praise,louange,239
prayers,prières,85
precious,précieux,79
prepare,préparer,82
presence,présence,107
present,présent,442
pretty,jolie,117
pride,fierté,112
priest,prêtre,85
prince,prince,834
prison,prison,260
private,privé,74
prize,prix,56
proceed,procéder,134
profit,profit,65
project,projet,32
prologue,prologue,27
promise,promettre,160
proof,preuve,118
proper,correct,100
protector,protecteur,60
protest,manifestation,67
proud,fier,249
prove,prouver,371
provided,à condition de,37
public,Publique,70
purpose,objectif,260
purse,bourse,107
quality,qualité,55
quarrel,querelle,129
queen,reine,575
question,question,177
quick,rapide,243
quiet,silencieux,110
quite,assez,117
quoth,quoth,66
raise,élever,72
ransom,une rançon,66
rascal,coquin,90
rather,plutôt,323
readable,lisible,3
ready,prêt,146
realm,domaine,60
reason,raison,498
receive,recevoir,144
regard,qui concerne,277
reign,règne,293
remain,rester,127
remedy,remède,59
remember,rappelles toi,200
render,rendre,57
repair,réparation,52
repent,se repentir,77
report,rapport,187
reputation,réputation,47
request,demande,85
respect,le respect,189
return,revenir,281
revenge,vengeance,189
reverence,révérence,44
revolt,révolte,64
right,droite,568
rivers,rivières,27
rogue,coquin,108
rotten,pourri,40
rough,rugueux,438
round,rond,100
royal,Royal,501
sacred,sacré,47
safety,sécurité,74
saint,Saint,189
salerio,salerio,5
satisfied,satisfait,54
saying,en disant,63
scarce,rare,90
scene,scène,152
scorn,mépris,146
search,chercher,61
season,saison,69
second,seconde,120
secret,secret,108
seeing,voyant,56
senate,sénat,42
senator,sénateur,44
sense,sens,187
sentence,phrase,45
servant,serviteur,304
serve,servir,328
service,un service,264
seven,Sept,93
several,nombreuses,106
shadow,ombre,111
shake,secouer,172
shall,doit,3702
shame,la honte,366
shape,forme,130
sharp,tranchant,90
shepherd,berger,86
shine,éclat,102
shore,rive,85
short,court,172
should,devrait,1716
shows,montre,103
sickness,maladie,54
sight,vue,239
silence,silence,88
silver,argent,72
simple,Facile,90
since,depuis,462
single,Célibataire,64
sirrah,sirrah,148
sister,sœur,614
skill,compétence,62
slain,tué,127
slander,calomnie,92
slave,esclave,176
sleep,sommeil,378
slender,mince,43
small,petit,121
smell,odeur,69
smile,sourire,125
soldier,soldat,360
solemn,solennel,69
somerset,somerset,68
something,quelque chose,183
sometime,parfois,138
sooner,plus tôt,62
soothsayer,devin,9
sorrow,chagrin,244
sorry,Pardon,92
sought,recherché,40
souls,âmes,114
sound,du son,333
spare,de rechange,68
speak,parler,1412
special,spécial,64
speech,discours,163
speed,la vitesse,162
spend,dépenser,80
spirit,esprit,396
spite,dépit,73
spoke,parlait,219
sport,sport,182
spring,printemps,90
staff,Personnel,155
stain,tache,116
stand,supporter,944
stars,étoiles,71
state,Etat,347
steal,voler,130
steel,acier,78
steward,intendant,40
still,encore,588
stomach,estomac,62
stone,calcul,150
stood,se tenait,107
store,boutique,72
storm,orage,81
story,récit,92
straight,tout droit,161
strange,étrange,296
street,rue,133
strength,force,143
strike,la grève,205
stroke,accident vasculaire cérébral,64
strong,fort,279
struck,frappé,84
study,étude,65
stuff,des trucs,70
subject,matière,172
substance,substance,43
success,Succès,88
sudden,soudain,129
suffer,souffrir,162
suffolk,suffolk,83
summer,été,99
supper,souper,64
surely,sûrement,40
surrey,Surrey,13
suspect,suspect,53
swear,jurer,356
sweat,transpiration,53
sweet,sucré,925
swift,rapide,100
sword,épée,427
swore,juré,60
sworn,juré,197
syracuse,Syracuse,9
table,table,202
tailor,tailleur,44
taken,pris,95
talbot,talbot,94
tarry,goudronneux,50
taste,goût,98
taught,enseigné,55
teach,enseigner,137
tears,larmes,291
tedious,fastidieux,51
teeth,les dents,57
tells,raconte,45
tempest,tempête,50
tender,soumissionner,176
terms,termes,75
thank,remercier,514
their,leur,2108
themselves,se,159
there,L�,3036
these,celles-ci,1338
thief,voleur,68
thing,chose,761
think,pense,1365
third,troisième,88
thomas,Thomas,54
those,ceux,547
though,bien que,1316
thrive,prospérer,61
throat,gorge,78
throne,trône,75
throw,jeter,213
thrust,poussée,66
thunder,tonnerre,90
times,fois,241
title,Titre,121
together,ensemble,281
tongue,langue,503
touch,toucher,230
toward,vers,177
tower,la tour,86
train,train,311
traitor,traitre,205
tread,bande de roulement,57
treasure,Trésor,58
trial,procès,65
tribunes,tribunes,50
trick,tour,94
triumph,triomphe,79
trouble,difficulté,132
truly,vraiment,172
trumpet,trompette,211
trust,confiance,244
truth,vérité,349
turns,se tourne,55
twice,deux fois,72
tyrant,tyran,70
ulysses,Ulysse,20
uncle,oncle,256
under,sous,577
undone,défait,55
unless,sauf si,155
until,jusqu'�,78
unworthy,indigne,36
utter,prononcer,121
valentine,Valentin,66
valiant,vaillant,162
valour,valeur,101
vantage,avantage,180
vengeance,vengeance,242
venice,venise,64
version,version,8
victory,la victoire,47
villain,scélérat,362
viola,alto,21
violent,violent,47
virtue,vertu,244
visit,visite,97
voice,voix,213
walls,des murs,85
warlike,guerrier,58
warrant,mandat,191
waste,déchets,75
watch,regarder,221
water,eau,198
wealth,richesse,113
weapons,armes,42
weary,se lasser,87
weeds,mauvaises herbes,44
weeping,larmes,62
weight,poids,63
welcome,Bienvenue,372
wench,jeune fille,85
where,où,1873
whether,qu'il s'agisse,97
which,lequel,2322
while,tandis que,335
whither,où,89
whole,entier,161
whore,putain,104
whose,dont,618
widow,veuve,98
willing,prêt,94
window,la fenêtre,69
wings,ailes,56
winter,hiver,82
wisdom,sagesse,105
witch,sorcière,89
withal,avec,153
within,dans,494
without,sans pour autant,368
witness,témoin,142
wives,épouses,64
wolsey,Wolsey,8
woman,femme,496
wonder,merveille,165
works,travaux,29
world,monde,704
worse,pire,178
worship,culte,133
worth,vaut,556
would,aurait,2456
wound,blessure,211
wrath,colère,73
wretch,misérable,153
write,écrire,161
written,écrit,35
wrong,faux,379
yield,rendement,199
yonder,là-bas,74
young,Jeune,503
yours,le tiens,536
youth,jeunesse,318
